582, 332
927, 744
362, 623
849, 555
849, 444
692, 65
158, 219
551, 856
959, 66
629, 934
927, 633
739, 666
425, 220
739, 934
142, 780
252, 624
236, 297
817, 855
80, 141
425, 64
770, 144
252, 780
503, 143
582, 443
550, 589
817, 744
347, 142
472, 622
79, 406
394, 499
739, 555
32, 781
848, 66
660, 254
363, 779
738, 444
315, 375
236, 141
236, 31
158, 63
80, 30
661, 745
393, 298
504, 299
441, 967
959, 177
347, 298
582, 221
770, 254
739, 823
440, 857
849, 666
284, 546
504, 410
503, 32
927, 366
927, 855
440, 700
111, 483
895, 933
80, 296
849, 333
614, 143
283, 499
64, 969
927, 255
33, 516
111, 593
959, 444
394, 454
330, 701
581, 65
330, 857
142, 936
347, 31
848, 176
32, 671
660, 365
64, 858
661, 856
739, 777
220, 702
551, 967
269, 375
143, 625
394, 545
189, 515
269, 219
692, 176
252, 890
473, 778
330, 968
660, 143
190, 406
628, 667
738, 333
158, 109
315, 220
425, 110
65, 703
363, 935
771, 365
881, 255
959, 333
471, 377
692, 333
33, 406
660, 411
849, 933
142, 890
158, 329
959, 555
661, 634
175, 858
143, 670
220, 968
426, 376
927, 522
582, 556
190, 297
252, 936
236, 452
518, 778
550, 700
583, 667
927, 477
220, 858
393, 142
175, 968
692, 222
2, 62
362, 577
629, 777
221, 547
628, 555
849, 823
236, 407
881, 144
817, 633
660, 476
65, 593
315, 421
158, 374
770, 33
2, 108
551, 745
661, 588
32, 891
32, 936
614, 254
504, 253
693, 444
550, 410
175, 702
959, 287
707, 855
220, 592
817, 966
190, 141
363, 889
817, 901
927, 901
770, 98
519, 934
926, 144
269, 109
472, 668
895, 822
33, 561
660, 523
33, 625
849, 287
269, 63
222, 484
629, 823
80, 251
473, 935
771, 634
110, 703
614, 33
285, 702
771, 476
252, 514
707, 966
849, 712
471, 221
112, 374
143, 515
314, 64
190, 31
771, 744
881, 366
536, 65
440, 545
112, 328
236, 187
112, 219
661, 966
738, 176
693, 555
471, 331
582, 175
771, 522
315, 109
739, 712
707, 745
848, 222
393, 32
881, 98
536, 221
285, 968
190, 452
738, 65
80, 186
849, 777
583, 778
395, 701
803, 66
252, 670
895, 666
473, 889
927, 587
440, 811
110, 858
629, 888
628, 444
440, 746
47, 218
661, 699
504, 456
330, 812
408, 779
347, 187
660, 300
738, 222
926, 98
408, 935
895, 555
660, 33
111, 438
285, 857
65, 748
771, 855
34, 296
425, 331
816, 366
959, 666
362, 669
816, 255
518, 667
315, 330
252, 734
64, 813
771, 411
220, 812
47, 63
959, 222
803, 176
175, 593
518, 889
927, 966
960, 933
236, 251
347, 252
785, 933
596, 856
582, 111
817, 522
927, 412
471, 64
959, 20
362, 733
505, 589
692, 111
583, 934
110, 968
816, 476
550, 523
79, 515
283, 453
960, 822
143, 561
771, 588
112, 63
739, 888
881, 33
895, 712
408, 889
738, 287
393, 344
550, 476
47, 108
849, 398
973, 744
158, 173
393, 188
440, 499
582, 378
440, 590
269, 329
175, 812
315, 265
706, 634
457, 32
426, 422
395, 857
126, 31
693, 666
425, 266
190, 251
692, 287
973, 855
895, 777
614, 300
425, 175
330, 747
503, 188
126, 141
849, 601
817, 587
927, 790
959, 398
549, 143
175, 748
330, 656
393, 252
458, 142
894, 444
504, 543
2, 173
803, 333
269, 265
32, 826
551, 810
536, 332
157, 484
142, 826
707, 901
285, 812
614, 411
