132, 137
123, 42
109, 114
132, 74
100, 82
23, 91
83, 2
146, 19
46, 51
54, 146
115, 11
51, 10
92, 51
46, 114
146, 2
31, 123
77, 122
100, 146
100, 19
83, 19
77, 59
69, 91
54, 83
77, 42
86, 137
132, 91
18, 37
146, 82
92, 34
123, 105
27, 24
31, 59
8, 99
77, 106
37, 19
68, 10
69, 74
46, 68
9, 37
8, 146
123, 59
100, 2
140, 105
54, 99
60, 42
132, 11
92, 114
23, 45
46, 131
63, 114
69, 27
9, 53
14, 123
17, 23
86, 91
109, 51
117, 145
86, 74
141, 122
132, 27
109, 97
115, 74
23, 108
4, 45
69, 137
123, 122
60, 59
46, 34
101, 66
32, 76
146, 65
27, 16
8, 8
146, 145
63, 130
9, 83
3, 15
140, 42
109, 131
137, 51
109, 34
32, 106
106, 42
37, 146
32, 139
23, 137
41, 59
115, 27
34, 10
40, 91
149, 137
101, 129
18, 99
109, 67
32, 43
37, 2
117, 82
9, 115
27, 68
40, 138
114, 137
100, 99
50, 91
18, 146
118, 129
41, 122
73, 114
11, 16
138, 34
124, 26
83, 82
141, 90
14, 60
17, 68
66, 2
137, 114
37, 83
64, 83
64, 146
37, 99
141, 58
14, 77
55, 67
127, 145
132, 58
118, 98
114, 91
18, 53
129, 2
13, 31
37, 36
63, 98
18, 83
118, 114
101, 35
141, 74
40, 107
128, 19
87, 106
4, 91
55, 130
63, 67
73, 51
87, 42
127, 82
9, 131
82, 146
95, 138
60, 122
87, 122
55, 51
40, 75
110, 19
3, 30
87, 59
96, 74
9, 68
60, 25
77, 26
97, 10
94, 122
141, 11
27, 131
17, 115
146, 129
55, 35
95, 90
110, 82
27, 114
119, 51
78, 10
92, 97
78, 75
32, 91
92, 68
17, 131
110, 2
141, 27
51, 28
132, 121
141, 138
94, 106
41, 43
27, 51
133, 42
104, 122
72, 130
127, 129
14, 140
117, 66
118, 34
104, 106
23, 75
4, 108
65, 19
47, 2
92, 4
63, 51
149, 90
46, 18
105, 59
78, 90
55, 115
78, 139
71, 145
26, 8
32, 27
92, 131
50, 137
60, 105
137, 97
110, 145
101, 50
124, 89
149, 74
146, 36
74, 34
50, 74
86, 26
124, 11
72, 98
92, 18
127, 66
133, 106
83, 65
54, 18
69, 108
69, 44
21, 16
46, 98
115, 57
24, 30
83, 36
106, 25
146, 99
72, 67
69, 57
82, 99
126, 114
96, 27
61, 10
15, 106
49, 107
127, 99
63, 35
71, 82
95, 58
46, 85
85, 10
48, 122
138, 5
24, 60
3, 61
81, 129
45, 24
117, 18
124, 75
24, 122
137, 68
5, 137
102, 137
60, 77
147, 49
9, 24
60, 15
136, 131
26, 84
94, 42
101, 113
46, 148
44, 8
116, 2
38, 129
17, 10
59, 140
115, 120
148, 10
74, 5
123, 140
25, 146
37, 54
138, 17
76, 16
25, 99
70, 121
38, 66
92, 24
128, 36
115, 46
26, 35
103, 89
3, 75
100, 55
31, 33
50, 45
37, 117
125, 50
77, 96
101, 73
132, 128
48, 58
134, 145
14, 94
147, 112
115, 109
78, 113
93, 81
